Day,Sleep,Quality,Coffee 1,Coffee 2,Coffee 3,Coffee 4
Default,70%,7.5,9.5,13,16,
11/02/2016,61%,7.5,12,16,17,
12/02/2016,67%,8,14,15,15,
13/02/2016,64.00%,11,15,15.5,16,
14/02/2016,75%,10,12,12.5,15,
15/02/2016,81%,7.5,9.5,12.5,14,
16/02/2016,77%,7.5,9.5,12.5,14,
17/02/2016,82%,7.5,9.5,12.5,14,
18/02/2016,71%,7,9.5,13.5,16,
19/02/2016,62%,7.5,12.5,16.25,17,
20/02/2016,67%,8,14.5,15,15.5,
21/02/2016,64.00%,10.5,15,15.5,16,
22/02/2016,75%,9.5,11.5,12.5,15,
23/02/2016,83%,6.5,9,11.5,13.5,
24/02/2016,76%,7,9,12,14,
25/02/2016,79%,8,9.5,12.5,15,
26/02/2016,53%,7.5,9.5,13,19,
27/02/2016,90%,7.5,9.5,12,14,
28/02/2016,49%,5,11,13,18,
29/02/2016,64.00%,11,15,15.5,16,
01/03/2016,75%,10,12,12.5,15,
02/03/2016,79%,7.5,9.5,12.5,14,
03/03/2016,77%,7.5,9.5,12.5,14,
04/03/2016,82%,7.5,9.5,12.5,14,
05/03/2016,33%,7.5,9.5,14,20,
06/03/2016,61%,7.5,11,15,17,
07/03/2016,68%,7,9,14,16,
08/03/2016,64.00%,6,11,13,17,
09/03/2016,75%,9,12,12.5,15,
10/03/2016,55%,13,15,17,19,
11/03/2016,61%,7.5,10,12.5,16,
12/03/2016,54%,7.5,9.5,12.5,18,
13/03/2016,89%,7,9.5,13,15,
14/03/2016,63%,7.5,9.5,13.5,16.5,
15/03/2016,81%,7.5,9.5,12,14,
16/03/2016,67%,8,12,14,16,
17/03/2016,72.00%,7.5,9.5,12,15,
