
Monday,61,7.5,12,16,17
Tuesday,67,8,14,15,15
Wednesday,64.00,11,15,15.5,16
Thursday,75,10,12,12.5,15
Friday,81,7.5,9.5,12.5,14
Saturday,77,7.5,9.5,12.5,14
Sunday,82,7.5,9.5,12.5,14
Monday,71,7,9.5,13.5,16
Tuesday,62,7.5,12.5,16.25,17
Wednesday,67,8,14.5,15,15.5
Thursday,64.00,10.5,15,15.5,16
Friday,75,9.5,11.5,12.5,15
Saturday,83,6.5,9,11.5,13.5
Sunday,76,7,9,12,14
Monday,79,8,9.5,12.5,15
Tuesday,53,7.5,9.5,13,19
Wednesday,90,7.5,9.5,12,14
Thursday,49,5,11,13,18
Friday,64.00,11,15,15.5,16
Saturday,75,10,12,12.5,15
Sunday,79,7.5,9.5,12.5,14
Monday,77,7.5,9.5,12.5,14
Tuesday,82,7.5,9.5,12.5,14
Wednesday,33,7.5,9.5,14,20
Thursday,61,7.5,11,15,17
Friday,68,7,9,14,16
Saturday,64.00,6,11,13,17
Sunday,75,9,12,12.5,15
Monday,55,13,15,17,19
Tuesday,61,7.5,10,12.5,16
Wednesday,54,7.5,9.5,12.5,18
Thursday,89,7,9.5,13,15
Friday,90,7.5,9.5,13.5,16.5
Saturday,81,7.5,9.5,12,14
Sunday,90,8,12,14,16
